dataset,learning_rate,epochs,batch_size,activation,nodes_per_layer,num_layers,optimizer,target_indices,target_vals,mod_indices,new_vals,threshold,strategy,loss,epsilon,lrdecay,method,fixed_seed,chtc_num,min_acc_test,avg_acc_test,max_acc_test,stdev_acc_test,min_acc_train,avg_acc_train,max_acc_train,stdev_acc_train,top1,top1_25,top1_75,top2,top2_25,top2_75,top3,top3_25,top3_75,top4,top4_25,top4_75,top5,top5_25,top5_75,gradnorm,gradnorm_25,gradnorm_75
whobin,0.3,10,128,relu,100,5,sgd,0,0,0,0,0.4,random,None,0.5,0.8,adversarial,1,10481417,0.5887978142076503,0.7425273224043718,0.8524590163934426,0.06221937657326019,0.5127504553734062,0.6648907103825136,0.7946265938069217,0.06290411273554737,0.3290909090909091,0.2546464646464646,0.5505555555555556,0.4023737373737374,0.33111111111111113,0.48709595959595964,0.41737373737373185,0.35710437710437537,0.4759932659932664,0.42906565656565654,0.3823484848484848,0.4814772727272727,0.4490101010101048,0.409444444444452,0.4925454545454554,0.028143405937601576,0.02023987831873783,0.03407016367100355
whobin,0.3,10,128,soft,100,5,sgd,0,0,0,0,0.5,random,None,0.0,0.8,softplus,0,10481458,0.5819672131147541,0.8201366120218578,0.8743169398907104,0.05433869862477704,0.6520947176684881,0.8068715846994534,0.8802367941712204,0.031439297549299604,0.7802020202020202,0.5393434343434343,0.8644444444444445,0.6051010101010101,0.5426262626262626,0.6568939393939394,0.5833333333333305,0.5560101010100955,0.6113468013467929,0.5880555555555556,0.5578787878787879,0.6197727272727273,0.6109898989898993,0.5582020202020077,0.6399494949494977,0.1116386913513821,0.08843258724391807,0.12395560099291443
whobin,0.1,10,128,relu,100,5,sgd,0,0,0,0,0.0,random,None,0.2,0.8,adversarial,0,10481448,0.6967213114754098,0.8251229508196718,0.855191256830601,0.020127448404672406,0.6329690346083788,0.7146994535519126,0.8201275045537341,0.037445013784246334,0.1396969696969697,0.11575757575757575,0.19257575757575757,0.21631313131313132,0.1915909090909091,0.24477272727272725,0.2717508417508391,0.2473737373737384,0.2994276094276054,0.3205555555555556,0.2997348484848485,0.3464772727272727,0.36519191919193245,0.3473636363636521,0.39250505050506385,0.030894179286307374,0.02600004227004802,0.04043933477588271
whobin,0.3,10,128,relu,50,5,sgd,0,0,0,0,0.05,random,None,0.5,0.8,adversarial,1,10481416,0.7513661202185792,0.8248907103825135,0.8592896174863388,0.02008928902619976,0.5209471766848816,0.6735473588342438,0.8037340619307832,0.06821888478021418,0.8468686868686869,0.4557070707070707,1.0,0.5760101010101011,0.4764141414141414,0.6571969696969697,0.5469023569023574,0.4806228956228976,0.6385185185185113,0.5733080808080808,0.5072222222222222,0.6536237373737374,0.5991919191919157,0.5371414141414071,0.6710505050505059,0.05031908838462154,0.013323285669086504,0.06977506199075188
whobin,0.3,10,128,soft,75,5,sgd,0,0,0,0,0.0,random,None,0.0,0.8,softplus,0,10481458,0.49863387978142076,0.8090573770491806,0.8825136612021858,0.08984395428082954,0.5455373406193078,0.8076639344262293,0.8975409836065574,0.08670978469769122,0.5844444444444444,0.41661616161616166,0.6495959595959595,0.5476262626262627,0.49462121212121213,0.6004292929292929,0.5197979797979784,0.49077441077441586,0.5454208754208766,0.523030303030303,0.48674242424242425,0.54375,0.5378383838383776,0.49962626262625975,0.5646060606060588,0.11623628102070307,0.11125130084729246,0.12659784214367759
whobin,0.3,10,128,relu,50,5,sgd,0,0,0,0,0.05,random,None,0.5,0.8,adversarial,1,10481417,0.7513661202185792,0.8248907103825135,0.8592896174863388,0.02008928902619976,0.5209471766848816,0.6735473588342438,0.8037340619307832,0.06821888478021418,0.8468686868686869,0.4557070707070707,1.0,0.5760101010101011,0.4764141414141414,0.6571969696969697,0.5469023569023574,0.4806228956228976,0.6385185185185113,0.5733080808080808,0.5072222222222222,0.6536237373737374,0.5991919191919157,0.5371414141414071,0.6710505050505059,0.05031908838462154,0.013323285669086504,0.06977506199075188
whobin,0.3,10,128,relu,100,5,sgd,0,0,0,0,0.4,random,None,0.2,0.8,adversarial,1,10481417,0.6202185792349727,0.7631830601092895,0.8756830601092896,0.05212151471586748,0.720856102003643,0.7632695810564666,0.8652094717668488,0.025592149102666495,0.5509090909090909,0.36691919191919187,1.0,0.5712121212121212,0.4538383838383838,0.6766161616161617,0.5279797979797944,0.453720538720542,0.6449326599326439,0.5226262626262625,0.4679671717171717,0.6173484848484848,0.5338181818181806,0.48372727272727734,0.6241919191919209,0.018937317247515115,0.01148400251451528,0.030067755571557674
whobin,0.2,10,128,soft,75,5,sgd,0,0,0,0,0.4,random,None,0.0,0.8,softplus,1,10481421,0.7131147540983607,0.7285109289617491,0.8346994535519126,0.011860653849494378,0.5938069216757741,0.6092304189435337,0.8747723132969034,0.02720059786985126,0.98,0.9408080808080808,0.98,0.98,0.9325252525252525,0.98,0.98,0.9306734006733988,0.98,0.9752020202020202,0.9129292929292929,0.98,0.9760404040404065,0.9178181818182118,0.9800808080808113,0.0012773607571575506,0.0007323577222021985,0.001467805904296628
whobin,0.1,10,128,relu,100,5,sgd,0,0,0,0,0.0,random,None,0.5,0.8,adversarial,0,10481448,0.523224043715847,0.745109289617486,0.8360655737704918,0.06645165430281445,0.4030054644808743,0.6500774134790528,0.7978142076502732,0.10784067697124507,0.06666666666666667,0.06161616161616162,0.07272727272727272,0.12454545454545454,0.11969696969696969,0.1305050505050505,0.1807070707070748,0.1756228956228995,0.18621212121212566,0.2347979797979798,0.23025252525252526,0.24066919191919192,0.289191919191933,0.2846868686868821,0.29439393939395375,0.02275880714342709,0.020236340980175932,0.024500948395562695
whobin,0.2,10,128,relu,100,5,sgd,0,0,0,0,0.05,random,None,0.2,0.8,adversarial,1,10481414,0.7295081967213115,0.7921174863387977,0.8592896174863388,0.023169378769709773,0.73224043715847,0.7756785063752278,0.848816029143898,0.017444771552304582,0.9602020202020202,0.8478787878787879,1.0,0.8005050505050506,0.6988636363636364,0.9132828282828284,0.7408080808080462,0.6683501683501525,0.8243771043770748,0.7179545454545455,0.6478787878787878,0.7817297979797979,0.7104646464646477,0.6487070707070688,0.7646262626262941,0.014419890950903964,0.010682107097623402,0.026208377734073716
whobin,0.1,10,128,relu,25,5,sgd,0,0,0,0,0.4,random,None,0.0,0.8,standard,0,10481452,0.49863387978142076,0.6852459016393441,0.8483606557377049,0.11873274543781481,0.47950819672131145,0.6782786885245901,0.843351548269581,0.10437844885034538,0.06,0.056767676767676765,0.06363636363636363,0.11676767676767677,0.11343434343434343,0.12093434343434344,0.17269360269360623,0.16929292929293274,0.17651515151515557,0.22792929292929293,0.22494949494949495,0.23188131313131313,0.28329292929294303,0.28008080808082175,0.2876363636363769,0.02469909836459816,0.02013903832011621,0.03270012484413648
whobin,0.1,10,128,relu,50,5,sgd,0,0,0,0,0.5,random,None,0.0,0.8,standard,1,10481411,0.8114754098360656,0.8256147540983604,0.860655737704918,0.007319587481178305,0.7477231329690346,0.7648770491803275,0.8624772313296903,0.012314639878638742,0.8498989898989899,0.54,0.98,0.7978282828282828,0.6973737373737374,0.9409343434343435,0.8180808080807785,0.7514141414141083,0.9117340067339994,0.829949494949495,0.7656565656565657,0.8878030303030303,0.8460606060606466,0.7830303030303178,0.8953535353535729,0.002691250534394731,0.0021286658687775105,0.0034524423648251423
