dataset,iteration,epochs,threshold,adversarial,fixed_seed,variations,activation,lr,lr_decay,weight_decay,nodes_per_layer,num_layers,epsilon,beta,finetune,train_shift_acc,train_shift_acc_p10,train_shift_acc_p25,train_shift_acc_p50,train_shift_acc_p75,train_shift_acc_p90,train_shift_acc_std,test_shift_acc,test_shift_acc_p10,test_shift_acc_p25,test_shift_acc_p50,test_shift_acc_p75,test_shift_acc_p90,test_shift_acc_std,train_loss_orig,test_loss_orig,train_loss_shift,test_loss_shift,part_grad_gradient_raw,part_grad_gradient_raw_p5,part_grad_gradient_raw_p10,part_grad_gradient_raw_p25,part_grad_gradient_raw_p50,part_grad_gradient_raw_p75,part_grad_gradient_raw_p90,part_grad_gradient_raw_p95,part_grad_gradient_raw_std,part_grad_gradient_normed,part_grad_gradient_normed_p5,part_grad_gradient_normed_p10,part_grad_gradient_normed_p25,part_grad_gradient_normed_p50,part_grad_gradient_normed_p75,part_grad_gradient_normed_p90,part_grad_gradient_normed_p95,part_grad_gradient_normed_std,part_grad_gradient_angle,part_grad_gradient_angle_p5,part_grad_gradient_angle_p10,part_grad_gradient_angle_p25,part_grad_gradient_angle_p50,part_grad_gradient_angle_p75,part_grad_gradient_angle_p90,part_grad_gradient_angle_p95,part_grad_gradient_angle_std,full_grad_gradient_raw,full_grad_gradient_raw_p5,full_grad_gradient_raw_p10,full_grad_gradient_raw_p25,full_grad_gradient_raw_p50,full_grad_gradient_raw_p75,full_grad_gradient_raw_p90,full_grad_gradient_raw_p95,full_grad_gradient_raw_std,full_grad_gradient_normed,full_grad_gradient_normed_p5,full_grad_gradient_normed_p10,full_grad_gradient_normed_p25,full_grad_gradient_normed_p50,full_grad_gradient_normed_p75,full_grad_gradient_normed_p90,full_grad_gradient_normed_p95,full_grad_gradient_normed_std,full_grad_gradient_angle,full_grad_gradient_angle_p5,full_grad_gradient_angle_p10,full_grad_gradient_angle_p25,full_grad_gradient_angle_p50,full_grad_gradient_angle_p75,full_grad_gradient_angle_p90,full_grad_gradient_angle_p95,full_grad_gradient_angle_std
whobin75_orig,0,4000,0,False,1,10,relu,0.5,0.8,0.0,50,5,0.5,5,True,0.9909532483302975,0.9893139040680025,0.9899817850637523,0.9914996964177292,0.99210686095932,0.9922890103217972,0.002040109000171412,0.9278688524590162,0.9180327868852459,0.9225865209471766,0.9280510018214936,0.9335154826958105,0.9364298724954462,0.00682513442447912,[0.01683133],[0.02841846],[0.20396131],[0.28194124],0.19785316,0.0911274004727602,0.11874609664082528,0.13631601631641388,0.1781863048672676,0.2644702084362507,0.2993331372737884,0.33210817575454704,0.08663828,0.85859144,0.5330673366785049,0.54310182929039,0.5788089334964752,0.7935304045677185,1.0654860585927963,1.2934499025344848,1.3816249489784238,0.31415856,0.516254923939162,0.4010595410627963,0.4024245440525653,0.4527706428412314,0.5229752560999441,0.5498752887063882,0.6123598269534676,0.6401039329247179,0.0816900594153401,0.20121804,0.09311130531132221,0.12021285817027091,0.13726240769028664,0.1863507181406021,0.26648881658911705,0.3093517482280731,0.33551270067691796,0.08680983,0.8546833,0.5725389122962952,0.5775085091590881,0.6149327605962753,0.7420528829097748,1.0616251975297928,1.313232135772705,1.328579521179199,0.285694,0.5301169673062331,0.41141033559335305,0.41390496948275896,0.4555644923922876,0.5335857040691572,0.5839769348064487,0.6342534724724749,0.6616463646211258,0.08773212766204837
whobin75_orig,0,4000,0,False,1,10,relu,0.5,0.8,0.001,50,5,0.5,5,True,0.989071038251366,0.9870066788099574,0.9878567091681846,0.9890710382513661,0.9910443230115361,0.9915604128718882,0.002138046977736376,0.9289617486338798,0.9234972677595629,0.9253187613843351,0.9298724954462659,0.9326047358834244,0.9327868852459016,0.003990692586558591,[0.02917871],[0.03507239],[0.15966882],[0.23105632],0.12183825,0.056709627620875835,0.0773762408643961,0.09086016565561295,0.1215459294617176,0.1581595204770565,0.17809741497039794,0.17819566428661346,0.043613117,0.74429953,0.4762366533279419,0.4898820161819458,0.5635979473590851,0.6708231270313263,0.8542514592409134,1.0229253351688383,1.176325777173042,0.2510295,0.49106455393176257,0.384931654598435,0.38602873287782863,0.4401207681073517,0.5040288201663881,0.5282290374117145,0.5755461016557907,0.5994941857791012,0.07280292728897134,0.12229661,0.05915729720145464,0.07872754745185376,0.09304274432361126,0.11894584074616432,0.1610993929207325,0.17196557968854903,0.1765648104250431,0.042492628,0.7506782,0.5180844753980637,0.528790432214737,0.562606692314148,0.6653210818767548,0.9300162643194199,1.0677817583084106,1.1128914713859557,0.22293213,0.5029688052222376,0.40106219432108065,0.40206377402029403,0.4483318188344765,0.48835860275220677,0.5752009105171418,0.5975733856584042,0.6002645832705286,0.07346354001009624
whobin75_orig,0,4000,0,False,1,10,relu,0.5,0.8,0.01,50,5,0.5,5,True,0.9647237401335763,0.9622343655130541,0.9628111718275653,0.9653916211293261,0.9659987856709168,0.9672131147540983,0.0020401090001713755,0.9273224043715846,0.9216757741347905,0.9253187613843351,0.9271402550091075,0.930327868852459,0.9311475409836065,0.0038596757924257096,[0.09747615],[0.09315164],[0.14347422],[0.16524795],0.009164115,0.003880432015284896,0.006016899412497878,0.007508508046157658,0.007914973655715585,0.011148491874337196,0.014101621601730584,0.01551628527231514,0.0039840313,0.7449893,0.6054243832826615,0.6261470496654511,0.6318300068378448,0.6405046284198761,0.694179117679596,1.1239144921302795,1.1663417279720305,0.21129963,0.38675754482574587,0.3390493741547367,0.34502083743584827,0.3572358659219221,0.383091071413623,0.4062960348507637,0.42318136776188464,0.45092933535684426,0.04053722732048965,0.009673113,0.004135860339738428,0.006367779988795519,0.007984827738255262,0.008293670136481524,0.011265532812103629,0.015324028022587298,0.016801815386861558,0.0042867437,0.7436317,0.6105913043022155,0.6251625657081604,0.6333006620407104,0.656911313533783,0.6994463205337524,0.9113513946533202,1.149317300319671,0.22529994,0.40492639225485216,0.3440908021492059,0.34537507962496555,0.36913421978064576,0.398511223820715,0.42946367472145563,0.4675438831249873,0.487878198418868,0.050009298906203196
whobin75_orig,0,4000,0,False,1,10,soft,0.5,0.8,0.001,50,5,0.5,5.0,True,0.953430479659988,0.9505768063145111,0.9520340012143291,0.9523375834851244,0.9547662416514875,0.9577413479052824,0.0031671648708548965,0.9180327868852458,0.9123861566484518,0.9148451730418944,0.9180327868852459,0.9198542805100182,0.9238615664845173,0.004679501850151228,[0.10548875],[0.10705389],[0.16539334],[0.18483268],0.06881999,0.034020917303860185,0.035107247158885004,0.038898167200386524,0.07195816934108734,0.0890217237174511,0.11127853095531463,0.11361951604485511,0.029435484,0.4561645,0.342395992577076,0.3511360913515091,0.3654285669326782,0.42777033150196075,0.5578522235155106,0.5919362604618073,0.6129528433084488,0.10662762,0.32263640671669896,0.2623789252289223,0.2721022041334698,0.28177268771227376,0.30161667389893576,0.3382012172685241,0.42149190883438875,0.4290739977606767,0.058411622533669515,0.06975452,0.03450375087559223,0.03480677008628845,0.03865285404026508,0.0703335776925087,0.0876079834997654,0.11638290286064147,0.11883936375379561,0.03070534,0.49057722,0.345449461042881,0.3525026112794876,0.3667149469256401,0.4339780807495117,0.6370943188667297,0.709544712305069,0.7098536759614944,0.14687832,0.33723560526682056,0.26723357787345603,0.27725921708866547,0.2872043802133186,0.3030046395489264,0.3459277362995298,0.46965509543164835,0.48710950784629486,0.07857893184158324
whobin75_orig,0,4000,0,False,1,10,soft,0.5,0.8,0.001,50,5,0.5,10.0,True,0.971584699453552,0.9665452337583486,0.9700971463266546,0.97237401335762,0.9731329690346084,0.9752276867030965,0.0031642536055362176,0.9318761384335156,0.9285974499089253,0.9298724954462659,0.9326047358834244,0.9344262295081968,0.9344262295081968,0.0029595768322899845,[0.06846055],[0.07199951],[0.16332041],[0.20583382],0.09221155,0.04221619963645935,0.05293179899454117,0.058058726601302624,0.09277136251330376,0.11060632206499577,0.16043587923049926,0.16050485223531724,0.04150529,0.5319209,0.3582825481891632,0.36832945942878725,0.3895481824874878,0.5265810787677765,0.6056195199489594,0.7431124448776245,0.7860001623630523,0.15579633,0.38457545637812995,0.30658358818764897,0.31312340992233145,0.3233487545317531,0.3682898572478138,0.44317792923289784,0.4828151055806756,0.49371390958572775,0.06986089157372613,0.09594615,0.04326088074594736,0.05391150526702404,0.06012443266808987,0.09365353360772133,0.11254416033625603,0.17260504513978958,0.17285720631480217,0.045118548,0.5519239,0.3691694661974907,0.38208557665348053,0.39853397756814957,0.5845060348510742,0.6284464448690414,0.7098748803138732,0.7866732835769652,0.15478909,0.3993556588633709,0.3156346965922155,0.32338128969826496,0.33444875971887444,0.3904661326694603,0.461800544937472,0.4768469664670242,0.4919107923182389,0.06820303345762005
